OCCUPATION,IF_OCCUPATION_HAZARDOUS,GENDER,AGE,STATE_OF_PROPOSAL
SHIPREPAIROFFICER,Y,F,38,DRAFT
PHYSIOTHERAPY,N,F,50,DRAFT
STUDENT,N,F,30,DRAFT
PHYSIOTHERAPY,N,M,35,DRAFT
BANKING,N,M,47,CONVERTED
NURSING,N,F,26,DRAFT
TRADER,N,F,30,AUTHORIZED
SHIPREPAIROFFICER,Y,F,33,AUTHORIZED
NURSING,N,F,33,AUTHORIZED
PHYSIOTHERAPY,N,F,53,AUTHORIZED
STUDENT,N,M,30,DRAFT
TEACHER,N,M,31,AUTHORIZED
STUDENT,N,F,27,DRAFT
TRADER,N,M,35,DRAFT
TRADER,N,F,26,AUTHORIZED
NURSING,N,F,31,DRAFT
POLICE,Y,M,30,AUTHORIZED
TEACHER,N,M,29,CONVERTED
TEACHER,N,F,37,DRAFT
TEACHER,N,M,31,AUTHORIZED
STUDENT,N,F,30,DRAFT
SECURITYFORCE,Y,M,64,AUTHORIZED
TEACHER,N,M,34,AUTHORIZED
TEACHER,N,M,48,DRAFT
TRADER,N,M,30,DRAFT
BANKING,N,M,36,AUTHORIZED
SOLDIER,Y,F,33,AUTHORIZED
SOLDIER,Y,F,28,AUTHORIZED
NURSING,N,M,30,CONVERTED
HEALTHWORKER,N,M,53,DRAFT
TRADER,N,F,32,DRAFT
NURSING,N,F,28,DRAFT
STUDENT,N,F,26,DRAFT
STUDENT,N,M,25,AUTHORIZED
HOTELIER,N,M,44,DRAFT
PHYSIOTHERAPY,N,M,54,DRAFT
PHYSIOTHERAPY,N,M,28,DRAFT
MARKETINGPERSONEL,N,M,29,AUTHORIZED
STUDENT,N,F,25,AUTHORIZED
STUDENT,N,M,29,DRAFT
CONSTRUCTIONCOMPANY,Y,M,35,CONVERTED
PRISONSOFFICER,Y,F,31,AUTHORIZED
MECHANIC,Y,M,44,DRAFT
SHIPREPAIROFFICER,Y,M,31,CONVERTED
TEACHER,N,M,29,DRAFT
SELFEMPLOYED,N,M,38,AUTHORIZED
STUDENT,N,M,34,CONVERTED
PHYSIOTHERAPY,N,M,31,DRAFT
AUDITOR,N,M,55,AUTHORIZED
ACCOUNTANT,N,F,41,AUTHORIZED
TEACHER,N,F,30,CONVERTED
HAIRDRESSER/BEAUTICIAN,N,F,29,AUTHORIZED
BUSINESSMAN/WOMAN,N,M,30,DRAFT
TRADER,N,F,35,DRAFT
STUDENT,N,M,29,DRAFT
TRADER,N,F,54,CONVERTED
TRADER,N,M,29,AUTHORIZED
DRIVINGINSTRUCTOR,Y,M,40,DRAFT
NURSING,N,F,32,CONVERTED
TRADER,N,M,56,AUTHORIZED
HEALTHWORKER,N,F,30,DRAFT
BUSINESSMAN/WOMAN,N,M,36,DRAFT
TRADER,N,F,32,AUTHORIZED
ENGINEER,Y,M,30,DRAFT
NURSING,N,M,32,DRAFT
PHYSIOTHERAPY,N,M,38,DRAFT
PHYSIOTHERAPY,N,M,35,DRAFT
PHYSIOTHERAPY,N,M,49,AUTHORIZED
PHYSIOTHERAPY,N,F,29,DRAFT
TEACHER,N,M,42,DRAFT
PHYSIOTHERAPY,N,M,62,DRAFT
ELECTRICIAN,Y,M,37,DRAFT
PHYSIOTHERAPY,N,M,36,DRAFT
TRADER,N,F,40,DRAFT
