OCCUPATION,IF_OCCUPATION_HAZARDOUS,GENDER,AGE,STATE_OF_PROPOSAL
SHIPREPAIROFFICER,Y,F,38,REJECTED
PHYSIOTHERAPY,N,F,50,REJECTED
STUDENT,N,F,30,REJECTED
PHYSIOTHERAPY,N,M,35,REJECTED
BANKING,N,M,47,CONVERTED
NURSING,N,F,26,REJECTED
TRADER,N,F,30,AUTHORIZED
SHIPREPAIROFFICER,Y,F,33,AUTHORIZED
NURSING,N,F,33,AUTHORIZED
PHYSIOTHERAPY,N,F,53,AUTHORIZED
STUDENT,N,M,30,REJECTED
TEACHER,N,M,31,AUTHORIZED
STUDENT,N,F,27,REJECTED
TRADER,N,M,35,REJECTED
TRADER,N,F,26,AUTHORIZED
NURSING,N,F,31,REJECTED
POLICE,Y,M,30,AUTHORIZED
TEACHER,N,M,29,CONVERTED
TEACHER,N,F,37,REJECTED
TEACHER,N,M,31,AUTHORIZED
STUDENT,N,F,30,REJECTED
SECURITYFORCE,Y,M,64,AUTHORIZED
TEACHER,N,M,34,AUTHORIZED
TEACHER,N,M,48,REJECTED
TRADER,N,M,30,REJECTED
BANKING,N,M,36,AUTHORIZED
SOLDIER,Y,F,33,AUTHORIZED
SOLDIER,Y,F,28,AUTHORIZED
NURSING,N,M,30,CONVERTED
HEALTHWORKER,N,M,53,REJECTED
TRADER,N,F,32,REJECTED
NURSING,N,F,28,REJECTED
STUDENT,N,F,26,REJECTED
STUDENT,N,M,25,AUTHORIZED
HOTELIER,N,M,44,REJECTED
PHYSIOTHERAPY,N,M,54,REJECTED
PHYSIOTHERAPY,N,M,28,REJECTED
MARKETINGPERSONEL,N,M,29,AUTHORIZED
STUDENT,N,F,25,AUTHORIZED
STUDENT,N,M,29,REJECTED
CONSTRUCTIONCOMPANY,Y,M,35,CONVERTED
PRISONSOFFICER,Y,F,31,AUTHORIZED
MECHANIC,Y,M,44,REJECTED
SHIPREPAIROFFICER,Y,M,31,CONVERTED
TEACHER,N,M,29,REJECTED
SELFEMPLOYED,N,M,38,AUTHORIZED
STUDENT,N,M,34,CONVERTED
PHYSIOTHERAPY,N,M,31,REJECTED
AUDITOR,N,M,55,AUTHORIZED
